Player,CC Player ID,Current Team,Teams,Playing Role,Batting Style,Bowling Style
Wajid Qureshi,1006745,Lions CC,"Lions Castilla,Lions CC",All Rounder,Right Handed Batter,Right Arm Medium
Yasser Abdulhamid,996146,Lions C,"Lions Castilla,Lions B,Lions CC,Kaon Lions,Lions C,Lions Cricket Club,All Season Lions",All Rounder,Right Handed Batter,Right Arm Medium
Adeel Syed,996345,Aces B,"Aces,Aces CC,Aces B",All Rounder,Right Handed Batter,Right Arm Medium
Ankit Baghel,996354,Balakrishna Foundation Aces,"Aces CC,Aces,Aruti Aces,Aces A,Tembo Stars,Toyam Chui Challengers,E-Parking Aces,Alaf Aces,Buffalo Blasters,Balakrishna Foundation Aces,Tembo Rangers",All Rounder,Right Handed Batter,Right Arm Off Spin
Azim Thakur,996358,Aces B,"Alaf Aces,Aruti Aces B,Alaf Aces B,Aces CC,Aces,Aces A,ICONS,Aruti Aces,E-Parking Aces,LEGENDS,Dar Legends XI,Aces B",All Rounder,Right Handed Batter,Right Arm Off Spin
Bhavesh Govind,996360,Karibu Tanzanite DCC,"Aces B,Aces CC,Aces,Aruti Aces,Aces A,Simba Kings,Ashton Buffalo Blasters,Alaf Aces,Twiga Titans,Chui Riders,Karibu Tanzanite DCC",All Rounder,Right Handed Batter,Right Arm Off Spin
Ejaz Aziz,996353,Park Mobile Lions,"Serengeti Giants,Alaf Aces,Aces CC,Aces,Aruti Aces,Aces A,Twiga Titans,E-Parking Aces,Pacific Tembo Stars,Chui Challengers,Lions A,Park Mobile Lions,Twiga Masters",All Rounder,Right Handed Batter,Right Arm Medium
Goodluck Andrew,996349,Park Mobile Lions,"Ngorongoro Titans,Gp,Lions Cricket Club,Aces CC,Lions Academy,GP Pak Stars,Lions CC,Buffalo Blasters,Meru Royal Rhinos,SKY Simba Kings,All Season Lions,Lions A,Park Mobile Lions,Twiga Masters",All Rounder,Right Handed Batter,Right Arm Medium
Imran Khan,996359,Aces B,"Alaf Aces,Aruti Aces B,Aces B,Alaf Aces B,Aces CC,Aces,Aces A",All Rounder,Right Handed Batter,Right Arm Medium
Imtiyaz Yusuf,996348,Aces B,"Royal Strikers CC,Aces B,Aruti Aces B,Alaf Aces,Alaf Aces B,Aces CC,Aces,Aces A,Chui Challengers",All Rounder,Right Handed Batter,Right Arm Off Spin
